node	source	licence	licence_receipt	texts
abbasid-arabic	ar.wikisource.org: المصباح المنير	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: النبوات	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: تحفة النظار في غرائب الأمصار وعجائب الأسفار	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: تذكرة الحفاظ	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: تفسير ابن كثير	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: تفسير البحر المحيط أبي حيان الغرناطي	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: تقريب التهذيب	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: تلبيس إبليس	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: تهذيب التهذيب	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: جامع الرسائل	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: جامع العلوم والحكم	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: خلاصة الحساب	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: درء تعارض العقل والنقل	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: رحلة ابن جبير	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: رسالة السجزي إلى أهل زبيد	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: رقائق الحقائق في حساب الدرج والدقائق	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: رياض الصالحين	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: سنن أبي داود	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: سنن ابن ماجة	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: سنن الترمذي	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: سنن الدارقطني	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: سنن الدارمي	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: سنن النسائي	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: سير أعلام النبلاء	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: شرح العقيدة الطحاوية	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: شرح تشريح القانون لابن سينا	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: شفاء العليل	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: صحيح البخاري	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: صحيح مسلم	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: صور الكواكب الثمانية والأربعين	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: صيانة صحيح مسلم	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: صيد الخاطر	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: طوق الحمامة	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: عجائب المخلوقات وغرائب الموجودات	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: علم الملاحة في علم الفلاحة	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: عيون الأنباء في طبقات الأطباء	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: فقه اللغة وسر العربية	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: قاعدة جليلة في التوسل والوسيلة	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: كتاب الأحكام الشرعية الكبرى	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: كتاب الأم	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: كتاب الاعتصام	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: كتاب الرسالة	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: كتاب الزهد لابن المبارك	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: كتاب الزهرة	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: كتاب المواقف	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: كليلة ودمنة	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: لسان العرب	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: مجمع الزوائد	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: مجموع الفتاوى	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
